tate,2015,2016,2017,2018
Alabama,$7.25,$7.25,$7.25,$7.25
Alaska †,$8.75,$9.75,$9.75,$9.75
Arizona *,$8.05,$8.20,$8.45,$8.65
Arkansas,$7.50,$8.00,$8.50,$8.50
California,$9.00,$10.00,$10.00,$10.00
Colorado *,$8.14,$8.30,$8.41,$8.60
Connecticut,$9.15,$9.60,$10.10,$10.10
Delaware,$8.25,$8.25,$8.25,$8.25
District of   Columbia †,$10.50,$11.50,$11.50,$11.50
Florida *,$8.05,$8.22,$8.42,$8.61
Georgia,$7.25,$7.25,$7.25,$7.25
Hawaii,$7.75,$8.50,$9.25,$10.10
Idaho,$7.25,$7.25,$7.25,$7.25
Illinois,$8.25,$8.25,$8.25,$8.25
Indiana,$7.25,$7.25,$7.25,$7.25
Iowa,$7.25,$7.25,$7.25,$7.25
Kansas,$7.25,$7.25,$7.25,$7.25
Kentucky,$7.25,$7.25,$7.25,$7.25
Louisiana,$7.25,$7.25,$7.25,$7.25
Maine,$7.50,$7.50,$7.50,$7.50
Maryland,$8.00,$8.75,$9.25,$10.10
Massacusetts,$9.00,$10.00,$11.00,$11.00
Michigan †,$8.15,$8.50,$8.90,$9.25
Minnesota †,$9.00,$9.50,$9.50,$9.71
Mississippi,$7.25,$7.25,$7.25,$7.25
Missouri *,$7.65,$7.80,$7.90,$8.05
Montana *,$8.05,$8.20,$8.45,$8.65
Nebraska,$8.00,$9.00,$9.00,$9.00
Nevada *,$8.25,$8.25,$8.25,$8.25
New Hampshire,$7.25,$7.25,$7.25,$7.25
New Jersey *,$8.38,$8.59,$8.78,$8.97
New Mexico,$7.50,$7.50,$7.50,$7.50
New York,$8.75,$9.00,$9.00,$9.00
North Carolina,$7.25,$7.25,$7.25,$7.25
North Dakota,$7.25,$7.25,$7.25,$7.25
Ohio *,$8.15,$8.30,$8.50,$8.70
Oklahoma,$7.25,$7.25,$7.25,$7.25
Oregon *,$9.25,$9.45,$9.65,$9.86
Pennsylvania,$7.25,$7.25,$7.25,$7.25
Rhode Island,$9.00,$9.00,$9.00,$9.00
South Carolina,$7.25,$7.25,$7.25,$7.25
South Dakota †,$8.50,$8.50,$8.50,$8.50
Tennessee,$7.25,$7.25,$7.25,$7.25
Texas,$7.25,$7.25,$7.25,$7.25
Utah,$7.25,$7.25,$7.25,$7.25
Vermont †,$9.15,$9.60,$10.00,$10.50
Virginia,$7.25,$7.25,$7.25,$7.25
Washington *,$9.47,$9.67,$9.87,$10.09
West Virginia,$8.00,$8.75,$8.75,$8.75
Wisconsin,$7.25,$7.25,$7.25,$7.25
Wyoming,$7.25,$7.25,$7.25,$7.25

